epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.608,1.31434,6.16386,1.39509,0,0,0,0,1.0014,6.10285,1.10523,4.96094e-06,4.96094e-06,4.96094e-06
2,193.698,1.34292,6.17659,1.42265,0,0,0,0,1.03119,6.04725,1.11954,9.30352e-06,9.30352e-06,9.30352e-06
3,286.434,1.35397,6.15407,1.41568,0,0,0,0,1.04185,6.04542,1.13457,1.29861e-05,1.29861e-05,1.29861e-05
4,379.05,1.30218,6.17975,1.35526,0,0,0,0,1.03668,6.02859,1.12548,1.203e-05,1.203e-05,1.203e-05
5,474.287,1.35129,6.1535,1.432,0,0,0,0,1.03831,6.02237,1.12488,1.104e-05,1.104e-05,1.104e-05
6,570.837,1.50536,6.46908,1.47203,0,0,0,0,1.04889,6.0044,1.12931,1.005e-05,1.005e-05,1.005e-05
7,662.519,1.52152,6.48894,1.51859,0,0,0,0,1.06774,6.00204,1.12761,9.06e-06,9.06e-06,9.06e-06
8,754.384,1.54388,6.46089,1.53373,0,0,0,0,1.0643,5.98983,1.1312,8.07e-06,8.07e-06,8.07e-06
9,845.581,1.54856,6.48056,1.525,0,0,0,0,1.07053,5.98767,1.12874,7.08e-06,7.08e-06,7.08e-06
10,937.757,1.4584,6.39996,1.44031,0,0,0,0,1.06241,5.96875,1.12786,6.09e-06,6.09e-06,6.09e-06
11,1029.59,1.47538,6.43238,1.43416,0,0,0,0,1.07017,5.96819,1.1299,5.1e-06,5.1e-06,5.1e-06
12,1120.78,1.5285,6.41855,1.5135,0,0,0,0,1.06967,5.96213,1.13278,4.11e-06,4.11e-06,4.11e-06
13,1213.79,1.47518,6.43996,1.46798,0,0,0,0,1.05585,5.96257,1.12338,3.12e-06,3.12e-06,3.12e-06
14,1305.19,1.54988,6.41486,1.53816,0,0,0,0,1.07382,5.96157,1.12766,2.13e-06,2.13e-06,2.13e-06
15,1396.93,1.51791,6.47825,1.50995,0,0,0,0,1.06889,5.95852,1.12341,1.14e-06,1.14e-06,1.14e-06
